em_KEGG_ko,kegg_pathway_id,Overview_category,pathway_name
K03927,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K07415,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K10789,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K10807,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K10808,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K13421,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K13800,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K17683,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K17689,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K23790,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K00632,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K01796,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K01822,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K03333,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K05296,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K05898,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K15981,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K15982,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K15983,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K16045,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K16046,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K16047,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K16048,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K16049,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K16050,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K16051,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K18364,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K18365,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K18366,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
